origin,saved_converged,rerun_converged,warnflag,task,iterations,function_calls,objective_value,gradient_l2_norm,gradient_max_abs,drift,ma.L1,ma.L2,sigma2,minimum_ma_root_modulus,training_return_volatility,trailing_20_return_volatility,trailing_60_return_volatility,absolute_1_day_return,absolute_5_day_return,absolute_20_day_return,convergence_matches_saved
2021-02-08,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,235,-3.0161972776343124,0.08256544177453874,0.07626671969518695,0.00038237279624001117,-0.09155611012056095,-0.017957597386286772,0.00014051290171992776,5.336535976936538,0.011904874952227256,0.010591327972837055,0.008475637887061873,0.007195848585123343,0.03725267583338443,0.023971700233300197,True
2021-02-16,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,125,-3.016539268409535,0.08244340979133034,0.0764252956919651,0.00038279497959280417,-0.09155562214628787,-0.017966810448756834,0.0001404170069003668,5.335619030282083,0.011900810869913955,0.010197967963750254,0.008013531245826525,0.0008663087721885177,0.00457324635163836,0.043235888348728935,True
2021-02-23,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,135,-3.0168429771526175,0.08244023375566056,0.07646061321864606,0.00038078932722669016,-0.09152238925176379,-0.017926335872675593,0.00014033172560240742,5.340318813158008,0.01189715055698617,0.009919925028002062,0.0076131989989524475,0.0012137723130658529,0.012310921271024178,0.008058077112643502,True
2021-03-02,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,125,-3.0165534577568325,0.08243599730745603,0.07648726403353436,0.00038017081587085545,-0.09189212625153864,-0.018556685776660895,0.00014041311985661024,5.2712365673243,0.011901141762919308,0.009850476512109572,0.008896332859660318,0.007833760069775764,0.0024805443792317305,0.027034456534766882,True
2021-03-09,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,120,-3.016471253347908,0.08273924892890837,0.07623565814185751,0.0003800430370273485,-0.0919612234241754,-0.01871475344189715,0.00014043580707719377,5.254776152905147,0.011902224412027798,0.011179899130282162,0.0095581572121737,0.014176415430059208,0.0016285457903713052,0.008589673508246243,True
2021-03-16,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,125,-3.016722693738759,0.08250353470579347,0.07646973516628776,0.00038300063535997604,-0.09176002282251873,-0.018528163480410396,0.0001403655319962784,5.276420848137237,0.011898986791238509,0.011528164118312307,0.009510035556862827,0.0012620976012378549,0.02232302086311755,0.009160101003232946,True
2021-03-23,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,135,-3.016900396195895,0.08238019128779527,0.07656075320383905,0.00038092393432537317,-0.09183602307194656,-0.01857855613194293,0.00014031576194882268,5.27015218416225,0.011896960600851363,0.012136909326326667,0.009786392994890163,0.007901888154213665,0.013053128304006734,0.00841789397025039,True
2021-03-30,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,220,-3.0170933331635497,0.08248249925083372,0.07651830364885683,0.0003825131157434335,-0.0917349574869474,-0.018808102858351553,0.00014026151020550553,5.249976274637003,0.01189460831322839,0.009505064246213519,0.009964891172115927,0.0026567284543927983,0.013338075306249308,0.02423651365573143,True
2021-04-07,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,135,-3.017270856305929,0.08261511816917434,0.07652968476712686,0.0003863922520316037,-0.0915275530419246,-0.01876955087470291,0.00014021169603806573,5.25742725893968,0.011892279959975053,0.007451991953814467,0.009789173572162793,0.0011565216899818154,0.02960334781375451,0.052211315679114634,True
2021-04-14,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,225,-3.0175759292704867,0.08258845943971632,0.07665174739379978,0.0003878157522216629,-0.09148538379634093,-0.018732630595765066,0.0001401263009040543,5.2617324211877845,0.011888607741771017,0.007329231553875994,0.009706535150600703,0.0034211406688475776,0.011882128191152752,0.04177042300714984,True
2021-04-21,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,135,-3.0177918679273597,0.0828284115045415,0.07654108360455637,0.0003890574633105209,-0.09152507933059217,-0.018829634305195672,0.00014006555953171543,5.251733812382489,0.011886107587595715,0.00659696184806683,0.009748130202428118,0.009417643761119976,0.011166039406187878,0.06598959071734445,True
2021-04-28,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,125,-3.0180523559443997,0.08268745810837302,0.07665341388296866,0.00038927454108177845,-0.09166732808865172,-0.018686290841601616,0.00013999273015941478,5.262861713830999,0.011883130620011726,0.006379676328563504,0.008600454980329658,0.0002877561128693529,0.0031914224519153933,0.05584293786301053,True
2021-05-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,225,-3.018342524192893,0.08269035344607185,0.07668591051057973,0.00038845023847898806,-0.09172370612913022,-0.018623588900418857,0.00013991149358045683,5.267864397464251,0.011879728228681396,0.006046953048281537,0.00845436176521576,0.0003127845076988933,0.003960634173889588,0.022278955875366435,True
2021-05-12,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,140,-3.018276867252663,0.082155481577129,0.07691912111696156,0.00038476696519417977,-0.09142482696993681,-0.018636992943496127,0.00013993027130797993,5.272041775310934,0.011880148282116344,0.00849004815604198,0.00920191915421095,0.021474290477405233,0.02518545805058192,0.014788630366368238,True
2021-05-19,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,240,-3.0184200346163266,0.08258191642736334,0.07668302655084204,0.00038626379882396913,-0.09147066151245226,-0.01923681731296757,0.00013988978235255077,5.214355313818102,0.011878658547357273,0.009012651911378112,0.009508730342345575,0.0026254862119570177,0.013353680352947706,0.01260098941960841,True
