origin,initial_converged,initial_iterations,initial_warnflag,initial_objective_value,initial_optimizer_message,initial_optimizer_status,initial_parameters,retry_attempted,retry_accepted,retry_count,retry_parameter,retry_parameter_offset,retry_converged,retry_iterations,retry_warnflag,retry_objective_value,retry_optimizer_message,retry_optimizer_status,retry_history,converged,iterations,warnflag,objective_value,optimizer_message,optimizer_status,parameters,forecast_is_finite,parameters_are_finite
2026-01-20 23:00:00+00:00,True,37,0,-1.4546969780434666,,,"{'const': 0.00010024306535767426, 'ar.L1': 0.26642439642174826, 'ar.L2': 0.37919139899772963, 'ma.L1': 0.6540551023351511, 'ma.L2': 0.43159164726871363, 'sigma2': 0.0031908229892898465}",False,False,0,,,,,,,,,[],True,37,0,-1.4546969780434666,,,"{'const': 0.00010024306535767426, 'ar.L1': 0.26642439642174826, 'ar.L2': 0.37919139899772963, 'ma.L1': 0.6540551023351511, 'ma.L2': 0.43159164726871363, 'sigma2': 0.0031908229892898465}",True,True
2026-01-27 23:00:00+00:00,True,48,0,-1.4548800563085322,,,"{'const': 0.0001326398678852703, 'ar.L1': 0.26642364097398696, 'ar.L2': 0.3793827901996245, 'ma.L1': 0.6529591377095199, 'ma.L2': 0.42985193710288416, 'sigma2': 0.003189744864855578}",False,False,0,,,,,,,,,[],True,48,0,-1.4548800563085322,,,"{'const': 0.0001326398678852703, 'ar.L1': 0.26642364097398696, 'ar.L2': 0.3793827901996245, 'ma.L1': 0.6529591377095199, 'ma.L2': 0.42985193710288416, 'sigma2': 0.003189744864855578}",True,True
2026-02-03 23:00:00+00:00,True,36,0,-1.4544343293506894,,,"{'const': 6.262141667470981e-05, 'ar.L1': 0.26593760658835, 'ar.L2': 0.3802436445128065, 'ma.L1': 0.6517997364474075, 'ma.L2': 0.42697241279546083, 'sigma2': 0.0031925510110429175}",False,False,0,,,,,,,,,[],True,36,0,-1.4544343293506894,,,"{'const': 6.262141667470981e-05, 'ar.L1': 0.26593760658835, 'ar.L2': 0.3802436445128065, 'ma.L1': 0.6517997364474075, 'ma.L2': 0.42697241279546083, 'sigma2': 0.0031925510110429175}",True,True
2026-02-10 23:00:00+00:00,True,43,0,-1.4550542520654082,,,"{'const': 4.6178196354241215e-06, 'ar.L1': 0.26568674269330383, 'ar.L2': 0.38055539440854047, 'ma.L1': 0.6516346012022823, 'ma.L2': 0.4259803809876704, 'sigma2': 0.0031885445762134044}",False,False,0,,,,,,,,,[],True,43,0,-1.4550542520654082,,,"{'const': 4.6178196354241215e-06, 'ar.L1': 0.26568674269330383, 'ar.L2': 0.38055539440854047, 'ma.L1': 0.6516346012022823, 'ma.L2': 0.4259803809876704, 'sigma2': 0.0031885445762134044}",True,True
2026-02-17 23:00:00+00:00,True,43,0,-1.4560237917234486,,,"{'const': 3.2407393498727394e-05, 'ar.L1': 0.26575087113093276, 'ar.L2': 0.3805154046637126, 'ma.L1': 0.6515613983609544, 'ma.L2': 0.4257327913165521, 'sigma2': 0.003182365961933136}",False,False,0,,,,,,,,,[],True,43,0,-1.4560237917234486,,,"{'const': 3.2407393498727394e-05, 'ar.L1': 0.26575087113093276, 'ar.L2': 0.3805154046637126, 'ma.L1': 0.6515613983609544, 'ma.L2': 0.4257327913165521, 'sigma2': 0.003182365961933136}",True,True
2026-02-24 23:00:00+00:00,True,46,0,-1.4569413792698898,,,"{'const': 0.0001311741764606325, 'ar.L1': 0.2659364211015051, 'ar.L2': 0.38071433231811486, 'ma.L1': 0.6515459210473435, 'ma.L2': 0.4253638895036228, 'sigma2': 0.003176530724570166}",False,False,0,,,,,,,,,[],True,46,0,-1.4569413792698898,,,"{'const': 0.0001311741764606325, 'ar.L1': 0.2659364211015051, 'ar.L2': 0.38071433231811486, 'ma.L1': 0.6515459210473435, 'ma.L2': 0.4253638895036228, 'sigma2': 0.003176530724570166}",True,True
2026-03-03 23:00:00+00:00,True,54,0,-1.4577877545283806,,,"{'const': 3.584927998200816e-05, 'ar.L1': 0.2661507532044469, 'ar.L2': 0.38088324290321196, 'ma.L1': 0.6515493578316118, 'ma.L2': 0.4250530952279521, 'sigma2': 0.0031711587474801003}",False,False,0,,,,,,,,,[],True,54,0,-1.4577877545283806,,,"{'const': 3.584927998200816e-05, 'ar.L1': 0.2661507532044469, 'ar.L2': 0.38088324290321196, 'ma.L1': 0.6515493578316118, 'ma.L2': 0.4250530952279521, 'sigma2': 0.0031711587474801003}",True,True
2026-03-10 23:00:00+00:00,True,43,0,-1.4587191379365287,,,"{'const': -4.021157703329721e-05, 'ar.L1': 0.26630544989140537, 'ar.L2': 0.38090848633945795, 'ma.L1': 0.6514657009478116, 'ma.L2': 0.4247978665054457, 'sigma2': 0.003165269807607254}",False,False,0,,,,,,,,,[],True,43,0,-1.4587191379365287,,,"{'const': -4.021157703329721e-05, 'ar.L1': 0.26630544989140537, 'ar.L2': 0.38090848633945795, 'ma.L1': 0.6514657009478116, 'ma.L2': 0.4247978665054457, 'sigma2': 0.003165269807607254}",True,True
2026-03-17 23:00:00+00:00,True,38,0,-1.4596797317432024,,,"{'const': 0.00010442395462336077, 'ar.L1': 0.26656885331279023, 'ar.L2': 0.38103641451494036, 'ma.L1': 0.651331542766647, 'ma.L2': 0.4245238893647681, 'sigma2': 0.003159191714573228}",False,False,0,,,,,,,,,[],True,38,0,-1.4596797317432024,,,"{'const': 0.00010442395462336077, 'ar.L1': 0.26656885331279023, 'ar.L2': 0.38103641451494036, 'ma.L1': 0.651331542766647, 'ma.L2': 0.4245238893647681, 'sigma2': 0.003159191714573228}",True,True
2026-03-24 23:00:00+00:00,True,42,0,-1.4604740570202024,,,"{'const': 0.00033898793231061723, 'ar.L1': 0.26709131800432295, 'ar.L2': 0.3816938605959152, 'ma.L1': 0.6513282836762189, 'ma.L2': 0.42398939545563785, 'sigma2': 0.0031540949652866038}",False,False,0,,,,,,,,,[],True,42,0,-1.4604740570202024,,,"{'const': 0.00033898793231061723, 'ar.L1': 0.26709131800432295, 'ar.L2': 0.3816938605959152, 'ma.L1': 0.6513282836762189, 'ma.L2': 0.42398939545563785, 'sigma2': 0.0031540949652866038}",True,True
