origin,forecast_origin,training_data_end,validation_start,validation_end,scaler_fit_end,scaler_mean,scaler_std,context_length,patch_length,patch_stride,prediction_length,window_stride,num_training_windows,num_validation_windows,epochs_trained,best_epoch,early_stopped,best_validation_loss,training_elapsed_seconds,inference_elapsed_seconds,num_parameters,forecast_is_finite,parameters_are_finite,training_warning,training_exception,model_identifier,model_configuration,transformers_version,device
2020-08-03,2020-08-03,2019-08-02,2019-08-05,2020-08-03,2019-08-02,100.3871078491211,58.78460693359375,252,21,7,20,5,1281,47,11,6,True,0.14532126486301422,5.6116133000468835,0.0012638999614864588,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2020-08-10,2020-08-10,2019-08-09,2019-08-12,2020-08-10,2019-08-09,100.50723266601562,58.926387786865234,252,21,7,20,5,1282,47,15,10,True,0.14652585983276367,7.868762800004333,0.0016238999087363482,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2020-08-17,2020-08-17,2019-08-16,2019-08-19,2020-08-17,2019-08-16,100.62625885009766,59.06488037109375,252,21,7,20,5,1283,47,16,11,True,0.1463652104139328,8.366146399988793,0.0015423999866470695,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2020-08-24,2020-08-24,2019-08-23,2019-08-26,2020-08-24,2019-08-23,100.74700927734375,59.20772933959961,252,21,7,20,5,1284,47,9,4,True,0.14756855368614197,4.641160099999979,0.001110799959860742,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2020-08-31,2020-08-31,2019-08-30,2019-09-03,2020-08-31,2019-08-30,100.86714172363281,59.34856033325195,252,21,7,20,5,1285,47,13,8,True,0.1500921994447708,6.78483719995711,0.0013121000956743956,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2020-09-08,2020-09-08,2019-09-09,2019-09-10,2020-09-08,2019-09-09,100.99114227294922,59.4997444152832,252,21,7,20,5,1286,47,18,13,True,0.1546821892261505,9.45287759997882,0.0011030000168830156,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2020-09-15,2020-09-15,2019-09-16,2019-09-17,2020-09-15,2019-09-16,101.117919921875,59.658382415771484,252,21,7,20,5,1287,47,14,9,True,0.15749730169773102,7.343731199973263,0.0011059000389650464,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2020-09-22,2020-09-22,2019-09-23,2019-09-24,2020-09-22,2019-09-23,101.24469757080078,59.81664276123047,252,21,7,20,5,1288,47,15,10,True,0.15970920026302338,7.877208799938671,0.0011085000587627292,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2020-09-29,2020-09-29,2019-09-30,2019-10-01,2020-09-29,2019-09-30,101.36957550048828,59.9691276550293,252,21,7,20,5,1289,47,17,12,True,0.1620177924633026,8.876871399930678,0.0013003000058233738,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2020-10-06,2020-10-06,2019-10-07,2019-10-08,2020-10-06,2019-10-07,101.4910888671875,60.112037658691406,252,21,7,20,5,1290,47,15,10,True,0.163694366812706,8.316131000057794,0.0011260000756010413,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
